Title	URL	Assignees	Status	Estimated size	Real size
Fix: Signature Verifcation commented out	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/155		Product Backlog		
Update Post-Booting Health checks	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/116		Product Backlog		
Create Demo day slide	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/114		Product Backlog		
Create Final Demo in Cooperation with POs	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/119		Product Backlog		
Create Demo video	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/115		Product Backlog		
Cleanup Project	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/127		Product Backlog		
Finalize user, (technical) design, and build/deploy documentation	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/123		Product Backlog		
Update SBOM and Legal Notice	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/124		Product Backlog		
Annotate Code	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/125		Product Backlog		
Databse: Only show valid image+OS versions	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/121		Product Backlog		
Bug: Failed loading of config doesnt get logged	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/140		Product Backlog		
API for uploading TPM/ID Pairs and first device registration	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/113	moritz-reinel	In Progress	3	
API Design: Dedicated routes for device and user	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/138	KathiAurina, patridu, uzantome	In Progress	8	
Add reboot options	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/156	IFrey	In Progress	3	
Create own application image	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/157	Jerry1098	In Progress	3	
Bugfix: Group and device application assignment	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/139	Beambamacrys	Awaiting Review	2	
Get UUID from device	https://github.com/amosproj/amos2026ss01-zero-downtime-linux-updates/issues/154	KathiAurina	Awaiting Review	1	
